Subject,업체명,공식 사이트 URL,지원 국가,미국 배송 요율,일본 배송 요율,중국 배송 요율,등급 체계,특이사항,데이터 수집 가능 여부,Error
뉴욕걸즈 (https://www.newyorkgirls.co.kr) - 미국 배대지 전문,뉴욕걸즈,https://www.newyorkgirls.co.kr,,,,,,,"실패: 뉴욕걸즈 웹사이트는 현재 상품 판매를 하지 않으며, 배송 대행 서비스나 배송 요율 정보를 제공하지 않습니다.",
투패스츠 (https://www.twopassts.co.kr) - 미국 배대지 전문,투패스츠,https://www.2fasts.com,미국,"0.5kg: $10.90, 1kg: $12.80, 2kg: $16.60, 3kg: $20.40, 5kg: $26.10, 10kg: $40.40 / 등급: 브론즈-$10.90, 실버-$10.90, 골드-$10.90, 루비-$10.90, 다이아몬드-$10.90, 플래티넘-$9.80, ZERO(유료회원)-$8.90",정보 없음,정보 없음,"브론즈: 출고건수 0회 이상, 실버: 출고건수 1회 이상, 골드: 출고건수 11회 이상, 루비: 출고건수 31회 이상, 다이아몬드: 출고건수 51회 이상, 플래티넘: 출고건수 101회 이상, ZERO: 유료회원",부피무게 계산방식: 가로(inch) x 세로(inch) x 높이(inch) / 166. 무세금 지역: DE (델라웨어). 합배송: 최대 5개 트래킹까지 가능.,성공,
오마이집 (https://www.omyzip.com) - 미국 배대지 전문,오마이집,https://www.ohmyzip.com,일본,정보 없음,"0.5kg: 9.00P, 1kg: 10.00P, 2kg: 12.00P, 3kg: 14.00P, 5kg: 18.00P, 10kg: 28.00P / 등급: Economy-9.00P, Premium-8.50P, Business-8.00P",정보 없음,"Economy: 月間 1件 ~ 100件, Premium: 月間 101件 ~ 200件, Business: 月間 201件 ~","무게는 다음 정수까지 올림 (예: 1.02kg → 1.10kg / 2.06kg → 2.10kg). 무게 또는 치수에 따라 중형 화물 출고 수수료 (P3.30) 발생 (무게 20kg 이상, 포장된 박스의 가로/세로/높이 합산 160cm 이상, 최장변 길이 100cm 이상). 중형 화물의 경우 한국 도착 후 전세편 수배 및 별도 전세 비용 (P20.00) 발생. 배터리 탈착 가능 제품 또는 배터리 단독 제품은 배송 불가. 100kg 초과 시 0.5kg당 P1.00의 운송료 추가. 상품 가격이 20만 엔 초과 시 통관 수수료 5,900엔 (세금 포함) 발생. 한국에서 일본으로의 반송은 외주 처리.",성공,
예스쉽 (https://www.yesship.com) - 미국/독일 배대지,예스쉽,https://www.yesship.com,미국,"0.5kg: 16314원, 1kg: 16314원, 2kg: 20771원, 3kg: 25228원, 5kg: 31926원, 10kg: 45300원 / 등급: 일반-16314원, 우대-15570원, 특별-14826원",정보 없음,정보 없음,"일반: 조건 없음, 우대: 단골고객, 특별: 기업고객 (자세한 조건은 로그인 후 확인 가능)","부피무게 계산방식: (가로x세로x높이)/166, 캘리포니아, 오레곤, 뉴저지, 델라웨어에 배대지 운영. 오레곤, 델라웨어는 미국 내 세일즈 텍스 면제. 묶음배송, 재포장 등은 부가서비스로 별도 신청 필요.",성공,
지니집 (https://www.geniezip.com) - 미국 배대지 전문,지니집,https://www.geniezip.com,"미국, 일본, 중국","0.5kg: 16099원, 1kg: 20530원, 2kg: 27029원, 3kg: 34119원, 5kg: 48298원, 10kg: 83746원 / 등급: 일반-154642원, G10-139178원","0.5kg: 9410원, 1kg: 11292원, 2kg: 15056원, 3kg: 18820원, 5kg: 26348원, 10kg: 45168원 / 등급: 일반-82808원, G10-74527원","0.5kg: 4874원, 1kg: 6646원, 2kg: 10191원, 3kg: 13736원, 5kg: 20826원, 10kg: 38550원 / 등급: 일반-73998원, G10-66598원","일반: 조건없음, G1: 10회 이상, G2: 20회 이상, G3: 30회 이상, G4: 40회 이상, G5: 50회 이상, G6: 60회 이상, G7: 70회 이상, G8: 80회 이상, G9: 90회 이상, G10: 100회 이상, 특별등급: 별도문의",부피무게 적용: 중량 대비 부피무게가 큰 경우 부피무게로 국제배송료 적용. 대형 화물: 인천 세관 통관장 엑스레이 최대 180*180/500kg 수용 가능.,성공,
고배송 (https://www.gobaesong.com) - 미국 배대지,고배송,https://www.gobaesong.com,미국,정보 없음,정보 없음,정보 없음,정보 없음,"부피무게 50% 할인, NJ/DE 무세금 지역","실패: 웹사이트 내에서 배송 요금 정보를 찾을 수 없었습니다. 관련 메뉴 및 검색을 통해 여러 차례 시도했으나, 요금표 페이지를 발견하지 못했습니다.",
가지다 (https://www.gajida.co.kr) - 미국 배대지,가지다,https://www.gajida.net,미국,"0.5kg: $10.60, 1kg: $12.30, 2kg: $15.70, 3kg: $19.11, 5kg: $26.00, 10kg: $45.80 / 등급: 그린-$8.90, 실버-$8.90, 골드-$8.90, VIP-$8.90, VVIP-$8.90",,,"그린: 신규회원, 실버: 10회 이상, 골드: 50회 이상, VIP: 100회 이상, VVIP: 200회 이상","부피무게 계산방식: 가로(inch) x 세로(inch) x 높이(inch) / 166. 무세금 지역: NJ, DE. 합배송: 기본 3개까지 무료, 추가시 수수료 발생.",성공,
호야USA (https://www.hoyausa.co.kr) - 미국 배대지,호야USA,https://www.hoyausa.co.kr,미국,"0.5kg: 12987원, 1kg: 16640원, 2kg: 20540원, 3kg: 24505원, 5kg: 37570원, 10kg: 37700원 / 등급: 호야새싹 (신규가입)-12987원, 호야새싹 (1~5건)-12661원, 호야잎새 (6~20건)-12597원, 호야가지 (21~40건)-12335원, 호야열매 (41~60건)-11817원, 호야나무 (61~80건)-11687원, 호야솔 (81~100건)-11557원, VIP (101~150건)-11557원, VVIP (150건 초과)-11427원",정보 없음,정보 없음,"호야새싹 (신규가입): 조건없음, 호야새싹 (1~5건): 1~5건 이용, 호야잎새 (6~20건): 6~20건 이용, 호야가지 (21~40건): 21~40건 이용, 호야열매 (41~60건): 41~60건 이용, 호야나무 (61~80건): 61~80건 이용, 호야솔 (81~100건): 81~100건 이용, VIP (101~150건): 101~150건 이용, VVIP (150건 초과): 150건 초과 이용","부피무게 계산방식: 실무게 또는 부피무게 적용 (무게단위 : LBS), 소수점 이하 올림 처리 (ex. 2.2 LBS → 3.0 LBS). 부피무게 적용 규정: 1-9 LBS 실무게 적용, 10-19 LBS 실무게와 부피무게(50%) 중 큰 값으로 적용, 20 LBS 이상 실무게와 부피무게(100%) 중 큰 값으로 적용. 특수화물: 박스 가로, 세로, 높이 합산 총 길이 160cm(63inch) 초과, 총중량 25kg(55lb) 초과, 최장변 길이 100cm(40inch) 초과 시 중형화물 또는 독자배송으로 추가 요금 발생 (착불).",성공,
세븐존 (https://sevenzone.com) - 미국/독일 배대지,세븐존,https://sevenzone.com,"미국, 독일","0.5kg: $13.90, 1kg: $15.90, 2kg: $19.90, 3kg: $23.90, 5kg: $31.90, 10kg: $51.90 / 등급: 일반-$15.90, VIP-4-$13.50 (3lbs 기준)",정보 없음,정보 없음,"일반: 조건없음, 우대: 사업자 또는 이용실적, 특별: 이용실적, VIP: 이용실적","부피무게 계산방식: (가로x세로x높이)/166, 무세금 지역: 오레곤, 뉴저지(신발, 의류), 합배송 가능",성공,
조이포스트 (https://joypost.co.kr) - 미국/일본/중국/영국/독일 배대지,조이포스트,https://joypost.co.kr,"미국, 일본, 중국","0.5kg: 일반-11.00$, 1kg: 일반-13.00$, 2kg: 일반-17.00$, 3kg: 일반-23.00$, 5kg: 일반-31.00$, 10kg: 일반-55.00$ / 등급: 일반-11.00$, WHITE-11.00$, PINK-11.00$, YELLOW-10.89$, BLUE-10.78$, SILVER-10.67$, GREEN-10.67$, GOLD-10.56$, BLACK-10.45$, VIOLET-10.34$, PLATINUM-10.23$","0.5kg: 일반-1,460¥, 1kg: 일반-1,680¥, 2kg: 일반-2,320¥, 3kg: 일반-2,860¥, 5kg: 일반-4,040¥, 10kg: 일반-8,640¥ / 등급: 일반-1,460¥, WHITE-1,460¥, PINK-1,460¥, YELLOW-1,446¥, BLUE-1,431¥, SILVER-1,417¥, GREEN-1,417¥, GOLD-1,402¥, BLACK-1,387¥, VIOLET-1,373¥, PLATINUM-1,358¥","0.5kg: N/A (1kg부터 시작), 1kg: 일반-7,800원, 2kg: 일반-9,400원, 3kg: 일반-10,700원, 5kg: 일반-13,800원, 10kg: 일반-22,500원 / 등급: 일반-7,800원, WHITE-7,800원, PINK-7,800원, YELLOW-7,722원, BLUE-7,644원, SILVER-7,566원, GREEN-7,566원, GOLD-7,488원, BLACK-7,410원, VIOLET-7,332원, PLATINUM-7,254원","일반: 회원가입, PINK: 3건, YELLOW: 10건, BLUE: 25건, SILVER: 50건, GREEN: 70건, GOLD: 100건, BLACK: 120건, VIOLET: 150건, PLATINUM: 200건","일본: 대부분 실무게로 측정, 부피무게(가로cm x 세로cm x 높이cm / 5000의 값이 45kg 이상)가 나올 경우 부피무게 적용. 일내배송의 금액은 배송비가 아닌 수수료이며 실 배송비는 무게나 지역에 따라 별도로 발생됩니다.
미국: 실무게와 부피무게(가로cm x 세로cm x 높이cm / 6000) 중 큰 값으로 무게 적용.
중국: 실무게와 부피무게(가로cm x 세로cm x 높이cm / 6000) 중 큰 값으로 무게 적용 (실무게와 부피무게 모두 10kg를 초과하는 경우 더 큰 값으로 무게 적용, 실무게와 부피무게 모두 10kg 미만인 경우 실무게로 적용).",성공,
